class_index;class_name;keywords
1;user_experience;menyusahkan susah sulit mempersulit belum siap menunggu error lama friendly ribet
2;jaringan_dan_koneksi;sinyal stabil wifi loading gangguan jaringan koneksi lama
3;payment;pembayaran payment linkaja transfer bank cash tunai wallet e-wallet terkoneksi qris kartu card kredit transaksi tunai non cash scan qr barcode captcha aktivasi bayar
4;security;data pribadi sistem retas
5;akun;verifikasi login mendaftar daftar email registrasi edit profil pin password
6;daftar_subsidi;subsidi nik upload gagal perbaiki memperbaiki foto kamera kesalahan ktp stnk kendaraan kategori
6;loyalty;poin poinnya point pointnya bonus voucher cashback tukar
7;server;server memori size down ukuran
8;invalid_troll;war player pemain game gameplay lvl senjata grafik graphic skill skil kill match matchmaking win hero matching item patch ranked lose



